company,model,score_pct,raw_points,optimal_raw_points,release_date,avg_total_tokens,min_total_tokens,max_total_tokens
cli2api,cli2api (cursor/cursor-grok-4.5-high),100.0,158,158,,0.0,0,0
cli2api,cli2api (cursor/cursor-grok-4.5-high),67.72151898734177,107,158,,0.0,0,0
cli,Codex CLI (gpt-5.6-sol) [xhigh],52.53164556962025,83,158,,0.0,0,0
cli,Codex CLI (gpt-5.6-terra) [high],47.46835443037975,75,158,,0.0,0,0
cli,Codex CLI (gpt-5.6-sol) [low],39.24050632911393,62,158,,0.0,0,0
openai,OpenAI: GPT-5.5,36.09958506224066,87,241,2026-04-24T17:31:33.253Z,3413.8333333333335,2649,4453
deepseek,DeepSeek: DeepSeek V4 Pro,27.800829875518673,67,241,2026-04-24T03:17:59.654Z,43661.666666666664,17441,66289
google,Google: Gemini 3.1 Pro Preview,25.726141078838175,62,241,2026-02-19T14:00:27.000Z,14893.833333333334,0,64230
x-ai,xAI: Grok 4.20,24.481327800829874,59,241,2026-03-31T17:43:39.677Z,21618.5,12741,30151
openai,OpenAI: GPT-5.4,23.651452282157678,57,241,2026-03-05T18:12:32.000Z,6524.166666666667,4891,7986
cli,Codex CLI (gpt-5.6-luna) [low],22.78481012658228,36,158,,0.0,0,0
deepseek,DeepSeek: DeepSeek V3.2,21.16182572614108,51,241,2025-12-01T13:10:42.818Z,16475.5,0,27735
qwen,Qwen: Qwen3.6 Plus,14.937759336099585,36,241,2026-04-02T12:39:17.573Z,35027.666666666664,0,83271
z-ai,Z.ai: GLM 5.1,14.107883817427386,34,241,2026-04-07T16:07:05.031Z,51128.5,32139,66666
openai,OpenAI: o3,13.692946058091286,33,241,2025-04-16T17:10:57.049Z,15995.5,9254,22117
stepfun,StepFun: Step 3.7 Flash,12.448132780082988,30,241,2026-05-28T16:17:49.000Z,57315.333333333336,41907,66754
qwen,Qwen: Qwen3.7 Max,8.71369294605809,21,241,2026-05-21T15:21:01.891Z,19881.833333333332,12523,34127
cli2api,cli2api (cursor/cursor-grok-4.5-high),0.0,0,0,,0.0,0,0
openrouter,Owl Alpha,0.0,0,241,2026-04-28T17:49:49.056Z,1467.3333333333333,1359,1616
nvidia,NVIDIA: Nemotron 3 Ultra (free),0.0,0,241,2026-06-04T05:33:28.534Z,0.0,0,0
qwen,Qwen: Qwen3.7 Plus,0.0,0,241,2026-06-03T13:03:03.046Z,47415.333333333336,3244,83191
minimax,MiniMax: MiniMax M3,0.0,0,241,2026-05-31T16:36:14.509Z,35052.833333333336,8846,66867
stepfun,StepFun: Step 3.5 Flash,0.0,0,241,2026-01-29T23:12:17.060Z,33948.5,17463,66747
moonshotai,MoonshotAI: Kimi K2.6,0.0,0,241,2026-04-20T15:36:42.832Z,37864.333333333336,12774,62861
google,Google: Gemini 2.5 Pro,0.0,0,241,2025-06-17T14:12:24.000Z,14088.333333333334,12900,14596
moonshotai,MoonshotAI: Kimi K2.6,0.0,0,241,2026-04-20T15:36:42.832Z,41836.166666666664,10696,66771
anthropic,Anthropic: Claude Opus 4.7,0.0,0,0,2026-04-16T14:51:40.905Z,0.0,0,0
