stage,step,cumulative_step,epoch,loss,eval_loss,learning_rate,grad_norm
Clean QLoRA,10,10,0.07272727272727272,0.4257494926452637,,0.0001999712454653157,0.4254736304283142
Clean QLoRA,20,20,0.14545454545454545,0.21513779163360597,,0.00019654066560025567,0.3936564028263092
Clean QLoRA,30,30,0.21818181818181817,0.21646387577056886,,0.00018758441475251754,0.4348287880420685
Clean QLoRA,40,40,0.2909090909090909,0.21387128829956054,,0.00017361511933828801,0.322509765625
Clean QLoRA,50,50,0.36363636363636365,0.19443823099136354,,0.00015543233599868742,0.41149744391441345
Clean QLoRA,60,60,0.43636363636363634,0.1921826958656311,,0.00013407678760069891,0.23158101737499237
Clean QLoRA,70,70,0.509090909090909,0.18602848052978516,,0.00011077079567451111,0.23651716113090515
Clean QLoRA,80,80,0.5818181818181818,0.19045439958572388,,8.684831873914145e-05,0.2744685113430023
Clean QLoRA,90,90,0.6545454545454545,0.18450297117233277,,6.367860089306028e-05,0.2746526598930359
Clean QLoRA,100,100,0.7272727272727273,0.17439311742782593,,4.258780077400748e-05,0.2827579379081726
Clean QLoRA,110,110,0.8,0.18075162172317505,,2.4783086589232295e-05,0.27434828877449036
Clean QLoRA,120,120,0.8727272727272727,0.16937222480773925,,1.128354176760873e-05,0.27944397926330566
Clean QLoRA,130,130,0.9454545454545454,0.173006010055542,,2.861835967424409e-06,0.24758335947990417
Clean QLoRA,138,138,1.0,,0.1843622624874115,,
Broad benchmark specialization,10,148,0.2,0.1834165096282959,,9.998776383426216e-05,0.32415488362312317
Broad benchmark specialization,20,158,0.4,0.1924537181854248,,9.852665675617837e-05,0.38710781931877136
Broad benchmark specialization,30,168,0.6,0.19809563159942628,,9.470000439281379e-05,0.49297475814819336
Broad benchmark specialization,40,178,0.8,0.19254964590072632,,8.869434585610534e-05,0.6288170218467712
Broad benchmark specialization,50,188,1.0,0.17687716484069824,,8.080244100601822e-05,0.3171544671058655
Broad benchmark specialization,50,188,1.0,,0.1985463798046112,,
Broad benchmark specialization,60,198,1.2,0.13879721164703368,,7.140899918702276e-05,0.5559929609298706
Broad benchmark specialization,70,208,1.4,0.13550078868865967,,6.097192567207304e-05,0.5030708909034729
Broad benchmark specialization,80,218,1.6,0.12129817008972169,,5.110610435765934e-05,0.4891664981842041
Broad benchmark specialization,90,228,1.8,0.11624088287353515,,4.0109903950724134e-05,0.3229801058769226
Broad benchmark specialization,100,238,2.0,0.10517871379852295,,2.959581938782675e-05,0.42149242758750916
Broad benchmark specialization,100,238,2.0,,0.25955691933631897,,
Broad benchmark specialization,110,248,2.2,0.0860467791557312,,2.0076384291297134e-05,0.8491384983062744
Broad benchmark specialization,120,258,2.4,0.07592366933822632,,1.2015645770835764e-05,0.24535667896270752
Broad benchmark specialization,130,268,2.6,0.08421046137809754,,5.806543362721945e-06,0.4308796525001526
Broad benchmark specialization,140,278,2.8,0.08051610589027405,,1.7517542738595071e-06,0.6099051237106323
Broad benchmark specialization,150,288,3.0,0.07846068739891052,,4.89386740013198e-08,0.3855306804180145
Broad benchmark specialization,150,288,3.0,,0.2885318696498871,,
Focused smoke specialization,5,293,1.0,0.0733322560787201,,0.00016,0.9876518845558167
Focused smoke specialization,5,293,1.0,,0.02930203452706337,,
Focused smoke specialization,10,298,2.0,0.03321913480758667,,0.00019912640693269752,2.5571539402008057
Focused smoke specialization,10,298,2.0,,0.027780886739492416,,
Focused smoke specialization,15,303,3.0,0.03688689470291138,,0.00019560357815343577,0.29478463530540466
Focused smoke specialization,15,303,3.0,,0.007712939288467169,,
Focused smoke specialization,20,308,4.0,0.016642661392688753,,0.00018947293298207635,1.9483331441879272
Focused smoke specialization,20,308,4.0,,0.00551542779430747,,
Focused smoke specialization,25,313,5.0,0.03641187250614166,,0.00018090169943749476,0.2829894423484802
Focused smoke specialization,25,313,5.0,,0.005367732606828213,,
Focused smoke specialization,30,318,6.0,0.018617136776447295,,0.00017012367842724887,1.2392994165420532
Focused smoke specialization,30,318,6.0,,0.004744062665849924,,
Focused smoke specialization,35,323,7.0,0.007871508598327637,,0.00015743286626829437,0.3835158050060272
Focused smoke specialization,35,323,7.0,,0.0028475578874349594,,
Focused smoke specialization,40,328,8.0,0.0037414558231830598,,0.00014317543523384928,0.07730650156736374
Focused smoke specialization,40,328,8.0,,0.0009580982732586563,,
Focused smoke specialization,45,333,9.0,0.000878494419157505,,0.00012774029087618446,0.018186287954449654
Focused smoke specialization,45,333,9.0,,0.00032700737938284874,,
Focused smoke specialization,50,338,10.0,0.00026578211691230536,,0.00011154846369695863,0.012516123242676258
Focused smoke specialization,50,338,10.0,,0.00014123755681794137,,
Focused smoke specialization,55,343,11.0,0.00011606176849454641,,9.504162453267777e-05,0.004119065124541521
Focused smoke specialization,55,343,11.0,,6.599061453016475e-05,,
Focused smoke specialization,60,348,12.0,5.679510650224984e-05,,7.867003692562534e-05,0.0040008374489843845
Focused smoke specialization,60,348,12.0,,4.0897208236856386e-05,,
Focused smoke specialization,65,353,13.0,3.468706854619086e-05,,6.28802751081779e-05,0.0015142220072448254
Focused smoke specialization,65,353,13.0,,3.060492599615827e-05,,
Focused smoke specialization,70,358,14.0,2.7842185227200388e-05,,4.810304262187852e-05,0.0017603226006031036
Focused smoke specialization,70,358,14.0,,2.552035221015103e-05,,
Focused smoke specialization,75,363,15.0,2.3948884336277843e-05,,3.4741423847583134e-05,0.001261258265003562
Focused smoke specialization,75,363,15.0,,2.304256850038655e-05,,
Focused smoke specialization,80,368,16.0,2.4682760704308747e-05,,2.315988891431412e-05,0.0010789654916152358
Focused smoke specialization,80,368,16.0,,2.1707830455852672e-05,,
Focused smoke specialization,85,373,17.0,2.2627170255873353e-05,,1.3674351904242611e-05,0.000977913150563836
Focused smoke specialization,85,373,17.0,,2.101481004501693e-05,,
Focused smoke specialization,90,378,18.0,2.137570845661685e-05,,6.543553540053926e-06,0.0011063735000789165
Focused smoke specialization,90,378,18.0,,2.0629930077120662e-05,,
Focused smoke specialization,95,383,19.0,2.149171632481739e-05,,1.9620034125190644e-06,0.0009602022473700345
Focused smoke specialization,95,383,19.0,,2.058162135654129e-05,,
Focused smoke specialization,100,388,20.0,2.217198780272156e-05,,5.467426590739511e-08,0.001096188323572278
Focused smoke specialization,100,388,20.0,,2.0591118300217204e-05,,
